product_category_name_english,price_category,category,Number of items sold,Revenue,turnover per product
computers,1_very high,computers_very high,2,11.319,"5659,5"
computers,2_high,computers_high,4,12.949,"3237,24"
computers,3_above average,computers_above average,97,130.821,"1348,67"
computers,4_below average,computers_below average,100,67.874,"678,74"
electronics,1_very high,electronics_very high,106,50.319,"474,71"
computers_accessories,1_very high,computers_accessories_very high,181,169.686,"937,49"
telephony,1_very high,telephony_very high,203,109.957,"541,66"
electronics,2_high,electronics_high,234,38.228,"163,37"
telephony,3_above average,telephony_above average,268,27.439,"102,38"
electronics,3_above average,electronics_above average,346,28.945,"83,65"
computers_accessories,2_high,computers_accessories_high,378,112.806,"298,43"
telephony,2_high,telephony_high,401,81.842,"204,1"
electronics,4_below average,electronics_below average,2081,42.755,"20,55"
computers_accessories,3_above average,computers_accessories_above average,2153,339.651,"157,76"
telephony,4_below average,telephony_below average,3673,104.429,"28,43"
computers_accessories,4_below average,computers_accessories_below average,5115,289.811,"56,66"
